A-Equipo,PC-CostoTotal,PC-TotalDeterminaciones,PC-UtilidadPropuesta,PC-ValorFinal,PC-ValorDeterminacion
343,11453527.82,9240,1.6599999998952286,19012856.18,2057.668417748918
234,8748146.26,15000,1.66,14521922.791599998,968.1281861066666
333,1719800.39,2650,1.218736140651765,2095982.8900000001,790.9369396226416
277,3100400,12,1.2901561088891755,4000000,333333.3333333333
343,27756451.36,19700,1.4053035782322925,39006240.41523858,1980.0122038192173
405,5559424,3500,2,11118848,3176.8137142857145
423,20414375.91,23200,1.4097937764489517,28780060.108007405,1240.5198322416984
405,952954,3500,1.9999999790126282,1905907.98,544.5451371428571
423,19457308.26,19700,1.3648957419119232,26557197.193141695,1348.0810757939946
343,7304415.27,5800,1.4999999993154827,10956622.9,1889.0729137931035
376,11147022.19,11000,1.500000001345651,16720533.3,1520.048481818182
408,13747156.59,44000,1.499999999085373,20620734.87242648,468.65306528242
245,7106409.13,9000,1.393108645856983,9900000,1100
336,16096789.04,7200,1.6999999982605225,27364541.339999996,3800.630741666666
287,39628822.1,92600,2,79257644.2,855.9140842332614
410,343627123.99,103500,2.8324799529746225,973316940,9404.028405797102
416,138733662.34,460700,3.043662892464805,422258500,916.5584979379206
246,31698018.6,30000,3.2894778476784663,104269930,3475.664333333333
245,39038306.42,45000,3.1085354649972543,121351960,2696.710222222222
307,40441655.2,1,3.4483244889541513,139455950,139455950
336,5678846.45,1686,1.5000000008082712,8518269.679590048,5052.354495605011
384,818915.4,200,2,1637830.8,8189.154
343,67646395.54,56540,1.6581771298320382,112169706,1983.9
234,8667478.55,11100,1.447578993149643,12546859.87255513,1130.347736266228
220,13095010.43,40800,1.1887294082895967,15566423.999999996,381.5299999999999
216,21661449.14,56000,1.2641813492262042,27384000,489
216,23694883.72,91800,2,47389767.44,516.2284034858387
307,15402147.97,0,2,30804295.94,0
336,13666880.5,10800,1.8878631447754302,25801200.000000004,2389.0000000000005
98,14414884.95,87100,1.444125296331276,20816900,239
411,44099661.79,25150,2.0000000004574523,88199323.60017349,3506.9313558717095
216,41201355.19,159600,2.6698150944971384,110000000,689.2230576441103
341,6491795.62,1850,1.6243579769382819,10545000,5700
343,4865563.518737578,3000,1.540000002169237,7492967.82941043,2497.65594313681
218,29723508.45,91671,2.3000000005046513,68364069.45,745.7545946918873
278,21948507.6,0,2.3,50481567.48,0
235,6650422.17,10320,2.6999995701024795,17956137,1739.9357558139534
273,13023471.16,17248,2.7811940115664218,36220800,2100
270,13651797.87,2400,1.659999999692349,22661984.46000001,9442.493525000004
216,10922712.94,53048,3.496801595425616,38194560.03496802,720.000000659177
247,3498840.56,7500,2.7999999977135284,9796753.56,1306.2338080000002
247,1595514.15,4000,2.8000000000000003,4467439.62,1116.859905
218,12543864.07,81024,5.154484426743314,64657152,798
296,10804700.95,43094,2.9993137385260074,32406688,752
216,13248562.35,37894,2.3024890696913993,30504670,805
98,6885218.22,38850,4.006191106605189,27583500.000000007,710.0000000000002
98,4138674.19,21630,4.996353675281697,20678280,956
395,1451212.74,536,3.619593361618366,5252800,9800
355,19908774.94,5120,1.5000000015068733,29863162.440000005,5832.648914062501
336,14933251.92,8750,1.2795139161678324,19107303.645280004,2183.6918451748575
343,14145053.23,15270,1.4999999996209346,21217579.8396381,1389.4944230280353
216,14631985.56,40826,1.364402248630978,19963914,489
336,7387014.21,2746,1.4404669766706368,10640750.025701733,3875.000009359699
303,7630107.96,2380,1.3499999992136416,10300645.74,4328.002411764706
245,3435729.33,2300,1.6599999977297395,5703310.68,2479.7002956521737
277,1576662.7,0,1.659999998731498,2617260.08,0
408,41895696.44,88660,3,125687089.32,1417.6301524926685
245,4147321,7000,2.4999999975888048,10368302.49,1481.18607
