A-Equipo,PC-CostoTotal,PC-TotalDeterminaciones,PC-UtilidadPropuesta,PC-ValorFinal,PC-ValorDeterminacion,PC-Ganado
336,412477.69,10700,1.3835741166180557,570693.4555664062,53.33583696882302,1
305,56700,1,1.7,96390,96390,0
270,447356.63,3750,1.0092803930278178,451508.27535000007,120.40220676000001,1
269,828752.8,3875,1.199111737706899,993767.2101374582,256.45605422902145,0
336,533011.42,7800,1.2575849088355364,670307.1180289999,85.93681000371794,1
201,1055433.36,4420,0.9999999888395822,1055433.3482209228,238.78582538934904,0
269,1540345.5,11800,1.1,1694380.05,143.59152966101695,0
242,1737115.28,0,0.4897947635912187,850829.9678982937,0,1
270,447356.63,3750,1.0698371418370247,478598.7384210434,127.62633024561157,1
270,447356.63,3750,1.13402733786098,507314.64819335943,135.28390618489584,1
242,1497933.84,0,0.7424036421394953,1112071.5385,0,1
269,1517476.5,11800,1.0999999999999999,1669224.15,141.45967372881356,0
270,1291664.43,6500,0.9944627416817734,1284512.150390625,197.61725390625,1
295,223940.37,5400,1.55,347107.5735,64.27918027777778,0
237,424065.96,5400,1.2097174694238604,513000,95,0
218,2033377.1,84528,0.9999999901641462,2033377.0800000003,24.05566297558206,0
269,722581.39,4486,1.187391168367136,857986.7609124492,191.25875187526734,0
222,2137009.58,7968,1.1900000032815545,2543041.4072127137,319.1568031140454,1
305,28350,0,1.5873015873015872,45000,0,0
269,903977.74,4088,1.100000008386074,994375.5215808242,243.24254441800983,0
269,814444.32,7700,1.3092134524309775,1066281.4599999997,138.47811168831166,1
242,2984219.42,16282,0.868844304983948,2592822.0478895004,159.24469032609633,1
280,1049573.38,3200,1.349999997141696,1416924.06,442.78876875000003,0
269,786351.94,3591,1.3000000106939034,1022257.5304091716,284.6721053771015,1
242,2854141.95,16282,0.990201637378111,2826176.0321995546,173.57671245544495,1
269,770758.26,7700,1.4780939901960963,1139253.1520000002,147.95495480519483,1
237,1044296.16,16800,1.0582562530980195,1105132.94140625,65.78172270275297,0
303,900902.34,6800,1.4874309501384835,1340030.023568183,197.0632387600269,1
242,3267196.05,16282,0.8743015835018912,2856514.680126124,175.44003685825598,1
269,362466.48,1700,1.3698142717202948,496511.75732421875,292.06573960248164,1
269,368436.58,1750,1.430191975072243,526935.0400390625,301.1057371651786,1
269,823676.31,3591,1.3100935636069981,1079093.0322265625,300.49931278935185,1
269,823676.31,3591,1.3588550462899698,1119256.7103530015,311.68385139320566,1
269,823676.31,3591,1.422245035346861,1171469.542630322,326.2237657004517,1
303,619261.22,2772,1.5,928891.83,335.09806277056276,1
269,442162.06,1250,1.3467401782080592,595477.4114812426,476.3819291849941,1
285,17955626.12,19400,1.6599999978168403,29806339.32,1536.4092432989692,0
269,1087381.52,6100,1.3777636671873688,1498154.7506269752,245.5991394470451,0
269,435279.87,1250,1.375785222548538,598851.6128188487,479.08129025507895,1
245,943075.27,15300,1.2468671393568496,1175889.5641030886,76.85552706556135,0
269,442162.06,1250,1.428756626645647,631741.9732762902,505.3935786210322,1
242,973828.71,1550,0.8227217684208302,801190.0784301758,516.8968247936618,1
242,998916.06,1552,0.8896007887715591,888636.5148925781,572.5750740287231,1
242,993212.3,1551,0.9355080234946684,929158.0756835938,599.0703260371333,1
237,542900.01,4200,1.0323090782168887,560440.6088870396,133.4382402111999,0
275,829961.07,3115,1.1945076649416393,991394.8597181644,318.2648024777414,0
336,671977.17,3223,1.678755847787639,1128085.6037172885,350.0110467630433,1
331,754043.84,1500,1.3999999886117207,1055661.367412738,703.7742449418254,0
237,485256.34,5400,1.0990326428295607,533312.5578,98.76158477777777,0
242,3216070.14,4700,0.9353414687310646,3008123.7682897206,640.026333678664,1
269,824077.86,2250,1.423244480527491,1172864.2657699066,521.2730070088473,1
336,537051.79,2183,1.7499999953449557,939840.6300000001,430.5270865781036,1
303,510996.03,2566,1.564402290962016,799403.3600044951,311.5367731895928,1
269,362138.74,1200,1.4187283970504507,513776.51411006995,428.14709509172496,1
269,362138.74,1150,1.4754774946399947,534327.5608072844,464.6326615715517,1
269,362138.74,1150,1.5344966092032535,555700.6685911386,483.2179726879466,1
242,3394707.27,4700,0.9990398870238966,3391447.9675000003,721.5846739361702,1
269,402370.71,1150,1.3810656072580432,555700.348949,483.2176947382609,1
269,402370.71,1150,1.4363082543217733,577928.3720703125,502.5464104959239,1
269,402370.71,1150,1.493760533235943,601045.486328125,522.6482489809782,1
303,542518.09,2566,1.5605997695462286,846653.6062286601,329.95074287944664,1
269,802826.02,2183,1.2955084205425043,1040067.869140625,476.43970185095054,1
237,530888.87,5400,1.13832186890679,604322.4106802138,111.91155753337293,0
234,846608.82,7200,1.1057842508552596,936166.6997911552,130.02315274877157,1
222,1847747.86,4177,1.254613955320722,2318210.2510699998,554.9940749509217,0
242,3331230.12,4700,1.0172066375896522,3388549.389402574,720.967955192037,1
353,356411.2,650,1.1121339621201578,396377,609.8107692307692,1
303,581329.17,2366,1.5744091931836353,915249.9895138124,386.83431509459524,1
269,843427.27,1983,1.3014100001696056,1097644.68359375,553.5273240513111,1
270,608647.87,1150,0.9875094116405928,601045.5,522.6482608695652,1
303,729091.42,3200,1.1947109806124814,871053.5253443465,272.2042266701083,1
303,829473.88,3000,1.2269884006341627,1017754.8293890134,339.2516097963378,1
242,4069558.25,6140,1.0976494954949962,4466948.56,727.5160521172638,1
331,3100115.73,3600,1.9999999806458844,6200231.400000001,1722.2865000000004,0
234,951216.41,7200,1.1077191288709998,1053680.6130529998,146.34452959069444,1
