"C-CodigoCliente";"C-TipoCliente";"C-Sucursal";"A-Equipo";"A-Sector";"PC-CostoAccesorios";"PC-CostoAlquiler";"PC-CostoCCC";"PC-CostoReactivos";"PC-CostoServicioTecnico";"PC-CostoTotal";"PC-TotalDeterminaciones";"PC-ImporteAccesorios";"PC-ImporteAlquiler";"PC-ImporteCCC";"PC-ImporteReactivos";"PC-ImporteServicioTecnico";"PC-UtilidadAccesorios";"PC-UtilidadAlquiler";"PC-UtilidadCCC";"PC-UtilidadReactivos";"PC-UtilidadServicioTecnico";"PC-UtilidadPropuesta";"PC-Ganado"
"369";"Privado";"2";"280";"Quimica Clinica";"11010,999999999998";"289095,6";"480209,86860000005";"0";"101183,46";"1049573,38";"3200";"11011";"289095,6";"648283,32";"0";"101183,46";"1";"1";"1,35";"1,35";"1";"1,349999997141696";"0"
"437";"Publico";"2";"269";"Inmunología";"75746";"213679,38";"74278,51199999999";"292798,69190000015";"74787,78";"786351,94";"3591";"75746";"213679,38";"85420,29";"336718,49";"74787,78";"1";"1";"1,15";"1,15";"1";"1,3000000106939034";"1"
"372";"Privado";"2";"242";"Hemostasia";"0";"867593,5499999998";"541180,6312";"922202,5164000001";"303657,78";"2854141,95";"16282";"0";"867593,55";"622357,72";"1060532,9";"303657,78";"1";"1";"1,15";"1,15";"1";"0,990201637378111";"1"
"445";"Privado";"2";"269";"Inmunología";"10527";"142452,92";"92884,07699999999";"400959,2366999999";"49858,52";"770758,26";"7700";"10527";"142452,92";"106816,69";"461103,13";"49858,52";"1";"1";"1,15";"1,15";"1";"1,4780939901960963";"1"
"551";"Privado";"2";"237";"Hemostasia";"46403,5";"185998,02";"374109,01";"179072,74";"65099,28";"1044296,16";"16800";"46403,5";"185998,02";"505047,16";"241748,2";"65099,28";"1";"1";"1,35";"1,35";"1";"1,0582562530980195";"0"
"384";"Publico";"2";"303";"Endocrinología";"10696,4";"183153,78";"115698,8448";"360559,1880000001";"64103,82";"900902,34";"6800";"10696,4";"183153,78";"156193,43";"486754,91";"64103,82";"1";"1";"1,35";"1,35";"1";"1,4874309501384835";"1"
"372";"Privado";"2";"242";"Hemostasia";"0";"929564,55";"604769,9064000001";"1145042,1664000002";"325347,6";"3267196,05";"16282";"0";"929564,55";"695485,4";"1316798,5";"325347,6";"1";"1";"1,15";"1,15";"1";"0,8743015835018912";"1"
"445";"Privado";"2";"269";"Inmunología";"0";"76314,06";"52407,9072";"173194,2575";"26709,92";"362466,48";"1700";"0";"76314,06";"60269,1";"199173,4";"26709,92";"1";"1";"1,15";"1,15";"1";"1,3698142717202948";"1"
"445";"Privado";"2";"269";"Inmunología";"0";"76314,06";"52407,9072";"178385,65360000002";"26709,92";"368436,58";"1750";"0";"76314,06";"60269,1";"205143,5";"26709,92";"1";"1";"1,15";"1,15";"1";"1,430191975072243";"1"
"437";"Publico";"2";"269";"Inmunología";"80404,5";"228942,18";"76400,7552";"301164,3536";"80129,76";"823676,31";"3591";"80404,5";"228942,18";"87860,87";"346339";"80129,76";"1";"1";"1,15";"1,15";"1";"1,3100935636069981";"1"
"437";"Publico";"2";"269";"Inmunología";"80404,5";"228942,18";"76400,7552";"301164,3536";"80129,76";"823676,31";"3591";"80404,5";"228942,18";"87860,87";"346339";"80129,76";"1";"1";"1,15";"1,15";"1";"1,3588550462899698";"1"
"437";"Publico";"2";"269";"Inmunología";"80404,5";"228942,18";"76400,7552";"301164,3536";"80129,76";"823676,31";"3591";"80404,5";"228942,18";"87860,87";"346339";"80129,76";"1";"1";"1,15";"1,15";"1";"1,422245035346861";"1"
"498";"Privado";"2";"303";"Endocrinología";"11797,499999999998";"202007,82";"92619,45";"155345,84999999998";"70702,74";"619261,22";"2772";"11797,5";"202007,82";"125036,26";"209716,9";"70702,74";"1";"1";"1,35";"1,35";"1";"1,5";"1"
"445";"Privado";"2";"269";"Inmunología";"0";"84454,23";"60414,6708";"224932,16349999997";"29558,98";"442162,06";"1250";"0";"84454,23";"69476,87";"258671,98";"29558,98";"1";"1";"1,15";"1,15";"1";"1,3467401782080592";"1"
"1745";"Publico";"2";"285";"Endocrinología";"403958,5";"5330154,84";"3308583,9974";"6438137,630000001";"1865554,2";"17955626,12";"19400";"403958,5";"1066030,97";"4962876";"9657206,45";"1865554,2";"1";"0,2";"1,5";"1,5";"1";"1,6599999978168403";"0"
"3951";"Publico";"2";"269";"Inmunología";"59253,7";"253362,69";"197567,90459999998";"503680,33539999987";"88676,94";"1087381,52";"6100";"59253,7";"177353,88";"227203,08";"579232,39";"44338,47";"1";"0,7";"1,15";"1,15";"0,5";"1,3777636671873688";"0"
"445";"Privado";"2";"269";"Inmunología";"0";"84454,23";"60414,6708";"218947,63659999997";"29558,98";"435279,87";"1250";"0";"84454,23";"69476,87";"251789,79";"29558,98";"1";"1";"1,15";"1,15";"1";"1,375785222548538";"1"
"1777";"Publico";"2";"245";"Hematología";"63270,899999999994";"327881,1";"323825,8265";"0";"114758,4";"943075,27";"15300";"63270,9";"327881,1";"437164,87";"0";"114758,4";"1";"1";"1,35";"1,35";"1";"1,2468671393568496";"0"
"445";"Privado";"2";"269";"Inmunología";"0";"84454,23";"60414,6708";"224932,16349999997";"29558,98";"442162,06";"1250";"0";"84454,23";"69476,87";"258671,98";"29558,98";"1";"1";"1,15";"1,15";"1";"1,428756626645647";"1"
"372";"Privado";"2";"242";"Hemostasia";"0";"342906,04000000004";"300391,8654";"143873,84";"120017,1";"973828,71";"1550";"0";"342906,04";"345450,65";"165454,92";"120017,1";"1";"1";"1,15";"1,15";"1";"0,8227217684208302";"1"
"372";"Privado";"2";"242";"Hemostasia";"0";"342906,04000000004";"300391,8654";"165688,93";"120017,1";"998916,06";"1552";"0";"342906,04";"345450,65";"190542,27";"120017,1";"1";"1";"1,15";"1,15";"1";"0,8896007887715591";"1"
"372";"Privado";"2";"242";"Hemostasia";"0";"342906,04000000004";"300391,8654";"160729,14";"120017,1";"993212,3";"1551";"0";"342906,04";"345450,65";"184838,51";"120017,1";"1";"1";"1,15";"1,15";"1";"0,9355080234946684";"1"
"414";"Privado";"2";"237";"Hemostasia";"59253,7";"118752,57";"224395,71";"56761,1";"41563,41";"542900,01";"4200";"59253,7";"118752,57";"258055,07";"65275,26";"41563,41";"1";"1";"1,15";"1,15";"1";"1,0323090782168887";"0"
